product;sourceService;targetService;protocol;port;description
VBR;Veeam Backup & Replication console;Kasten Plug-in for Veeam Backup & Replication;TCP;9404;Port used by the Veeam Backup & Replication console to communicate with Kasten Plug-in for Veeam Backup & Replication. This port is opened by default after you install Veeam Backup & Replication. If you do not use the plug-in, it is still recommended that you keep this port open to speed up the Veeam Backup & Replication console loading time.
VBR;Veeam Backup & Replication console;Microsoft Azure Plug-in for Veeam Backup & Replication;TCP;20443;Port used by the Veeam Backup & Replication console to communicate with Microsoft Azure Plug-in for Veeam Backup & Replication. This port is opened by default after you install Veeam Backup & Replication. If you do not use the plug-in, it is still recommended that you keep this port open to speed up the Veeam Backup & Replication console loading time.
VBR;Backup server;Backup proxy (Microsoft Windows);TCP;445 135;Required for deploying Veeam Backup & Replication components.
VBR;Backup server;Backup proxy (Microsoft Windows);TCP;6160;Default port used by Veeam Installer Service.
VBR;Backup server;Backup proxy (Microsoft Windows);TCP;6162;Default port used by Veeam Data Mover Service.
VBR;Backup server;Backup proxy (Microsoft Windows);TCP;49152 to 65535;Dynamic RPC port range for Microsoft Windows 2008 and later. For more information, see this Microsoft KB article . Note: If you use default Microsoft Windows firewall settings, you do not need to configure dynamic RPC ports. During setup, Veeam Backup & Replication automatically creates a firewall rule for the runtime process. If you use firewall settings other than default ones or application-aware processing fails with the "RPC function call failed" error, you need to configure dynamic RPC ports. For more information on how to configure RPC dynamic port allocation to work with firewalls, see this Microsoft KB article.
VBR;Backup server;Backup proxy (Linux);TCP;22;Default SSH port used as a control channel.
VBR;Backup server;Backup proxy (Linux);TCP;6160;Default port used by Veeam Installer Service for Linux.
VBR;Backup server;Backup proxy (Linux);TCP;6162;Default port used by Veeam Data Mover Service. You can specify a different port while adding the Linux server to the Veeam Backup & Replication infrastructure. Note that you can specify a different port only if there is no previously installed Veeam Data Mover on this Linux server. For more information, see Specify Credentials and SSH Settings.
VBR;Backup server;Backup proxy;TCP;2500 to 3300;Default range of ports used as data transmission channels and for collecting log files. For every TCP connection that a job uses, one port from this range is assigned. Note: This range of ports applies to newly installed Veeam Backup & Replication starting from version 10.0, without upgrade from previous versions. If you have upgraded from an earlier version of the product, the range of ports from 2500 to 5000 applies to the already added components.
