product;sourceService;targetService;protocol;port;description
VBEM;Machine running mount service 1;Target machine with Microsoft SQL Server;TCP;1433, 1434;Ports used to communicate with the Microsoft SQL Server installed on the target machine during application-item restore. For more information, see this Microsoft article.
VBEM;Machine running mount service 1;Target machine with Microsoft SQL Server;UDP;1434;Port used by the Microsoft SQL Server Browser service. For more information, see this Microsoft article.
VBEM;Machine running mount service 1;Target machine with Microsoft SQL Server;TCP;1025 to 1034;Default RPC range for the Veeam SQL Restore Service runtime component installed on a target or staging Microsoft SQL Server machine to support restore. Each runtime component uses the next available port in the range, and only during application item restore. For more information on the Veeam SQL Restore Service runtime component, see the How Data Recovery Works section of the Veeam Explorers User Guide. You must manually open this port range in Microsoft Windows Firewall.
VBEM;Target machine with Microsoft SQL Server;Machine running mount service 1;TCP;3260 to 3270;Port range opened by Veeam Backup & Replication to manage iSCSI traffic during restore to the target machine. This port range is opened only during application item restore. For more information, see the How Mounting Works section of the Veeam Explorers User Guide.
VBEM;Target machine with Microsoft SQL Server;Backup repository;TCP;2500 to 3300;Port range used by the Veeam Agent persistent component deployed on the target or staging server. This port range is only used during transaction log restore. For more information on the components used during restore, see the How Data Recovery Works section of the Veeam Explorers User Guide.
VBEM;Target machine with Oracle;Machine running mount service 1;TCP;3260 to 3270;Ports used by Veeam Backup and Replication for iSCSI traffic. Ports are open only during the application item restore session.
VBEM;Machine running mount service 1;Target Windows machine with Oracle;TCP;49152 to 65535;Recommended dynamic RPC port range for Microsoft Windows 2008 and later. For more information, see this Microsoft article.
VBEM;Machine running mount service 1;Target Windows machine with Oracle;TCP;1025 to 1034;Default range of ports for the runtime component installed on the target or staging Oracle server to support restore operations. Each runtime component uses the next available port in the range, and only during application item restore. You must manually open this port range in Microsoft Windows Firewall.
VBEM;Machine running mount service 1;Target Windows machine with Oracle;TCP;6160, 11731;Ports used by the Veeam Installer Service for connections to the target Windows machine with Oracle.
VBEM;Machine running mount service 1;Target Linux machine with Oracle;TCP;22;Default SSH port used as a control channel.
VBEM;Machine running mount service 1;Target Linux machine with Oracle;TCP;2500 to 5000;Default port range for data transmission.
