product;sourceService;targetService;protocol;port;description
AVH;Backup server;Log shipping server;TCP;49152 to 65535;Dynamic RPC port range for Microsoft Windows 2008 and later. For more information, see this Microsoft KB article . Note: If you use default Microsoft Windows firewall settings, you do not need to configure dynamic RPC ports. During setup, Veeam Backup & Replication automatically creates a firewall rule for the runtime process. If you use firewall settings other than default ones or application-aware processing fails with the "RPC function call failed" error, you need to configure dynamic RPC ports. For more information on how to configure RPC dynamic port allocation to work with firewalls, see this Microsoft KB article.
AVH;Log shipping server;Backup repository;TCP;2500 to 3300;Default range of ports used for communication with a backup repository and transfer log backups.
AVH;Guest interaction proxy;MS SQL VM guest OS;TCP;445 135;Required for deploying Veeam Backup & Replication components including Veeam Log Shipper runtime component.
AVH;Guest interaction proxy;MS SQL VM guest OS;TCP;2500 to 3300;Default range of ports used for communication with a guest OS.
AVH;Guest interaction proxy;MS SQL VM guest OS;TCP;49152 to 65535;Dynamic RPC port range for Microsoft Windows 2008 and later. For more information, see this Microsoft KB article . Note: If you use default Microsoft Windows firewall settings, you do not need to configure dynamic RPC ports. During setup, Veeam Backup & Replication automatically creates a firewall rule for the runtime process. If you use firewall settings other than default ones or application-aware processing fails with the "RPC function call failed" error, you need to configure dynamic RPC ports. For more information on how to configure RPC dynamic port allocation to work with firewalls, see this Microsoft KB article.
AVH;Guest interaction proxy;MS SQL VM guest OS;TCP;6167;Used by the Veeam Log Shipping Service for preparing the database and taking logs.
AVH;MS SQL VM guest OS;Guest interaction proxy;TCP;2500 to 3300;Default range of ports used for communication with a guest interaction proxy.
AVH;MS SQL VM guest OS;Backup repository;TCP;2500 to 3300;Default range of ports used for communication with a backup repository and transfer log backups. Should be opened if log shipping servers are not used in the infrastructure and the MS SQL server has a direct connection to the backup repository.
AVH;MS SQL VM guest OS;Log shipping server;TCP;2500 to 3300;Default range of ports used for communication with a log shipping server and transfer log backups.
AVH;Guest interaction proxy;Oracle VM guest OS (Microsoft Windows);TCP;445 135;Required for deploying Veeam Backup & Replication components including Veeam Log Shipper runtime component.
AVH;Guest interaction proxy;Oracle VM guest OS (Microsoft Windows);TCP;2500 to 3300;Default range of ports used for communication with a guest OS.
AVH;Guest interaction proxy;Oracle VM guest OS (Microsoft Windows);TCP;49152 to 65535;Dynamic RPC port range for Microsoft Windows 2008 and later. For more information, see this Microsoft KB article . Note: If you use default Microsoft Windows firewall settings, you do not need to configure dynamic RPC ports. During setup, Veeam Backup & Replication automatically creates a firewall rule for the runtime process. If you use firewall settings other than default ones or application-aware processing fails with the "RPC function call failed" error, you need to configure dynamic RPC ports. For more information on how to configure RPC dynamic port allocation to work with firewalls, see this Microsoft KB article.
AVH;Guest interaction proxy;Oracle VM guest OS (Microsoft Windows);TCP;6167;Used by the Veeam Log Shipping Service for preparing the database and taking logs.
AVH;Backup server;Oracle VM guest OS (Linux);TCP;22;Default SSH port used as a control channel.
AVH;Backup server;Oracle VM guest OS (Linux);TCP;2500 to 3300;Default range of ports used for communication with a guest OS.
AVH;Oracle VM guest OS;Guest interaction proxy or backup server;TCP;2500 to 3300;Default range of ports used for communication with a guest interaction proxy.
AVH;Oracle VM guest OS;Backup repository;TCP;2500 to 3300;Default range of ports used for communication with a backup repository and transfer log backups. Should be opened if log shipping servers are not used in the infrastructure and the Oracle server has a direct connection to the backup repository.
AVH;Oracle VM guest OS;Log shipping server;TCP;2500 to 3300;Default range of ports used for communication with a log shipping server and transfer log backups.
AVH;Backup server;PostgreSQL VM guest OS;TCP;22;Default SSH port used as a control channel.
AVH;Backup server;PostgreSQL VM guest OS;TCP;2500 to 3300;Default range of ports used for communication with a guest OS.
AVH;PostgreSQL VM guest OS;Backup server;TCP;2500 to 3300;Default range of ports used for communication with a guest interaction proxy.
AVH;PostgreSQL VM guest OS;Backup repository;TCP;2500 to 3300;Default range of ports used for communication with a backup repository and transfer log backups. Should be opened if log shipping servers are not used in the infrastructure and the PostgreSQL server has a direct connection to the backup repository.
AVH;PostgreSQL VM guest OS;Log shipping server;TCP;2500 to 3300;Default range of ports used for communication with a log shipping server and transfer log backups.
